pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,
50,c,22,2,90,2,,,,,232.33419558301102,233.317887333018,233.317887333018,233.317887333018,233.317887333018,233.33439041601378,234.31778208300238,234.31778208300238,c,1,0.6027340000146069,None,412603,001,2023-10-17_16h54.22.548,sequential_learning_exp,2023.1.3,60.33152146403869,
-150,z,22,3,91,3,,,,,234.95090858300682,235.9512047910248,235.9512047910248,235.9512047910248,235.9512047910248,235.9512047910248,236.95106408299762,236.95106408299762,z,1,0.5948249170032796,None,412603,001,2023-10-17_16h54.22.548,sequential_learning_exp,2023.1.3,60.33152146403869,
-50,x,23,0,92,0,,,,,237.56759262501146,238.551605708024,238.551605708024,238.551605708024,238.551605708024,238.56805508301477,239.56805133301532,239.56805133301532,x,1,0.45060325000667945,None,412603,001,2023-10-17_16h54.22.548,sequential_learning_exp,2023.1.3,60.33152146403869,
150,v,23,1,93,1,,,,,240.0510990000039,241.03536937502213,241.03536937502213,241.03536937502213,241.03536937502213,241.05235450001783,242.03490075000445,242.03490075000445,v,1,0.415280791989062,None,412603,001,2023-10-17_16h54.22.548,sequential_learning_exp,2023.1.3,60.33152146403869,
50,c,23,2,94,2,,,,,242.46787337501883,243.46790995800984,243.46790995800984,243.46790995800984,243.46790995800984,243.46790995800984,244.46782095800154,244.46782095800154,c,1,0.5445036250166595,None,412603,001,2023-10-17_16h54.22.548,sequential_learning_exp,2023.1.3,60.33152146403869,
-150,z,23,3,95,3,,,,,245.03489687500405,246.0183724160015,246.0183724160015,246.0183724160015,246.0183724160015,246.03556287501124,247.01801558301668,247.01801558301668,z,1,0.6658893749990966,None,412603,001,2023-10-17_16h54.22.548,sequential_learning_exp,2023.1.3,60.33152146403869,
-50,x,24,0,96,0,,,,,247.70093133300543,248.70233374999953,248.70233374999953,248.70233374999953,248.70233374999953,248.70233374999953,249.70147012500092,249.70147012500092,x,1,0.604157292022137,None,412603,001,2023-10-17_16h54.22.548,sequential_learning_exp,2023.1.3,60.33152146403869,
150,v,24,1,97,1,,,,,250.33494441601215,251.33593375000055,251.33593375000055,251.33593375000055,251.33593375000055,251.33593375000055,252.31884695802,252.31884695802,v,1,0.4236706250230782,None,412603,001,2023-10-17_16h54.22.548,sequential_learning_exp,2023.1.3,60.33152146403869,
50,c,24,2,98,2,,,,,252.76828829100123,253.75248337502126,253.75248337502126,253.75248337502126,253.75248337502126,253.76877208301448,254.76899916600087,254.76899916600087,c,1,0.41091700000106357,None,412603,001,2023-10-17_16h54.22.548,sequential_learning_exp,2023.1.3,60.33152146403869,
-150,z,24,3,99,3,,,,,255.20160545801627,256.1857050000108,256.1857050000108,256.1857050000108,256.1857050000108,256.2019687910215,257.1858124580176,257.1858124580176,z,1,0.5699244590068702,None,412603,001,2023-10-17_16h54.22.548,sequential_learning_exp,2023.1.3,60.33152146403869,
-50,x,25,0,100,0,,,,,257.7855335000204,258.78542483301135,258.78542483301135,258.78542483301135,258.78542483301135,258.78542483301135,259.7849115410063,259.7849115410063,x,1,0.38182883299305104,None,412603,001,2023-10-17_16h54.22.548,sequential_learning_exp,2023.1.3,60.33152146403869,
